iter	Passed	Remaining
0	1	131
1	2	114
2	3	110
3	4	102
4	6	116
5	7	111
6	8	108
7	9	106
8	10	104
9	11	101
10	12	100
11	13	98
12	14	98
13	15	98
14	17	99
15	23	124
16	25	126
17	27	123
18	28	119
19	28	115
20	30	115
21	31	113
22	32	110
23	33	107
24	40	122
25	42	119
26	43	116
27	44	113
28	46	114
29	47	111
30	48	108
31	50	106
32	51	103
33	52	101
34	53	99
35	55	97
36	56	95
37	57	94
38	59	93
39	61	92
40	62	90
41	63	87
42	65	87
43	67	85
44	68	84
45	70	82
46	71	81
47	73	79
48	74	77
49	76	76
50	77	74
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	95	55
63	97	54
64	98	53
65	100	51
66	101	50
67	102	48
68	103	46
69	104	44
70	105	43
71	107	41
72	108	40
73	109	38
74	110	36
75	111	35
76	112	33
77	113	31
78	114	30
79	115	28
80	116	27
81	117	25
82	118	24
83	119	22
84	120	21
85	122	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	127	11
92	128	9
93	129	8
94	130	6
95	131	5
96	132	4
97	133	2
98	134	1
99	135	0
